POI index,Mean of Ground Pixel Along-Track Resolution [m],Mean of Ground Pixel Cross-Track Resolution [m],Mean of SNR,Mean of DR,Mean of Noise-Equivalent Delta T [K],SD of Ground Pixel Along-Track Resolution [m],SD of Ground Pixel Cross-Track Resolution [m],SD of SNR,SD of DR,SD of Noise-Equivalent Delta T [K]
1130,29.94675186347794,30.074651037961974,573.7737240072995,22254.162950743885,,1.1421402032237464e-10,0.17704775542104967,367.0586586124737,15852.673833639252,
1131,29.94675186346254,30.07097927810638,534.2684915161142,17374.574083670188,,9.884853874847313e-11,0.17752368396241905,265.43708973385145,15178.584803813565,
1132,29.94675186355553,30.053876541602587,506.49610506593746,17163.33985393135,,1.8106264052161967e-10,0.14755074927108977,314.10863321427985,15790.130553222392,
1133,29.946751863512773,30.012748653524415,478.03551808396696,16307.931601473376,,5.194029091773793e-11,0.0736846843785687,330.7902006394832,12444.911321872243,
1134,29.9467518634759,30.015312659830432,525.7675903705983,17174.832348295564,,1.5268526257448095e-10,0.09870996481391363,278.8856158943658,17180.032092821413,
1135,29.946751863480515,30.023012520691438,500.2444119012372,16917.594384092758,,1.4344722746790259e-10,0.06906109648125924,314.14637298886635,14508.546405903078,
1136,29.946751863481122,30.0094523710643,502.12364003985584,18038.09549532631,,9.680482514516212e-11,0.0862417041935543,360.4255572279128,14437.390086888465,
1137,29.946751863448796,30.01472959460975,524.6553273221275,17292.028987724174,,1.1669350196795299e-10,0.08413671145305107,280.9819996587654,16540.52602880185,
1138,29.94675186354291,30.083165643312103,512.2908458046281,17327.50793014038,,1.6268723702479865e-10,0.16004249408065657,309.3045465241809,15557.62379869247,
1139,29.946751863501262,30.0489755994534,478.0770726376134,16380.430931784322,,4.506459555229486e-11,0.14318652075647276,333.180006658084,12802.275071387627,
1140,29.94675186350411,30.078535655673228,524.4956369153468,16418.019888852297,,1.7370214029376335e-10,0.20381119499222342,248.34791949502136,14728.266336766805,
1141,29.946751863457084,30.10788381734085,603.5093856457443,21899.31340742456,,1.1751517689364897e-10,0.16319575104099557,287.28866581296234,15690.485480143625,
1142,29.94675186351616,30.083021642282095,465.99918348012073,15438.952084670353,,1.0009427684678208e-10,0.1762833110384506,330.9018653599473,12029.318360302053,
1143,29.94675186348384,30.117398794945903,521.2329216222402,17208.051623453524,,1.3912361958945778e-10,0.20206613170198992,281.5786208014541,16642.08682041549,
1144,29.946751863521538,30.17034108648714,517.0484809523256,17153.822835180894,,1.3799408761024944e-10,0.16823311772537788,291.1311091001785,14018.892643924495,
1145,29.94675186347299,30.096458662863366,461.71409307514494,16060.078785343627,,8.635284274431923e-11,0.15714626344091936,350.7455663434545,13821.816192104898,
1146,29.94675186347824,30.175615914889445,492.6724054095278,15037.241933417865,,1.654929543476226e-10,0.20252135696155568,254.60337182190096,13856.047937678028,
1147,29.9467518634573,30.15873127114415,539.7022963250873,18328.082032281545,,1.0600415952675465e-10,0.16531710609836703,288.4546592284762,13893.689402035492,
1148,29.946751863465774,30.225992646472886,435.9531155634133,14413.81503204816,,1.1893776366110274e-10,0.21185415572897726,337.85601322947707,14658.452753311249,
1149,29.946751863502172,30.194736429662075,493.38780327498995,14789.107743578063,,1.6220961286415609e-10,0.19990694418680602,238.06494040490674,13191.171844793183,
1150,29.94675186351698,30.215409184662956,510.23264862922485,17430.351729481263,,1.1246119138697889e-10,0.1745387019834458,314.4310418144097,13703.140987777364,
1151,29.946751863517836,30.24666217602389,381.8209370128177,11037.904424454387,,1.2327833860088664e-10,0.18663305609731654,289.6798993096789,10606.482728101797,
1152,29.94675186347466,30.234872466246554,457.62663955153766,12694.043236860749,,1.7278730369856908e-10,0.18119071313678795,220.15089637396454,10830.075605417289,
1153,29.946751863482607,30.193893014451263,517.2471334453763,17643.990069921227,,1.0457772151835734e-10,0.16470164861787823,309.13646635498543,13200.802766155583,
1154,29.946751863454875,30.30288526863125,344.1968684289443,8327.501527165203,,1.2617507004090975e-10,0.15881463600625426,231.6311263958538,8303.807820137486,
