POI,lat[deg],lon[deg]
1139,70,80.4706
1140,70,84.7059
1141,70,88.9412
1142,70,93.1765
1143,70,97.4118
1144,70,101.647
1145,70,105.882
1146,70,110.118
1147,70,114.353
1148,70,118.588
1149,70,122.824
1150,70,127.059
1151,70,131.294
1152,70,135.529
1153,70,139.765
1154,70,144
1155,70,148.235
1156,70,152.471
1157,70,156.706
1158,70,160.941
1159,70,165.176
1160,70,169.412
1161,70,173.647
1162,70,177.882
1163,70,182.118
1164,70,186.353
1165,70,190.588
1166,70,194.824
1167,70,199.059
1168,70,203.294
1169,70,207.529
1170,70,211.765
1171,70,216
1172,70,220.235
1173,70,224.471
1174,70,228.706
1175,70,232.941
1176,70,237.176
1177,70,241.412
1178,70,245.647
1179,70,249.882
1180,70,254.118
1181,70,258.353
1182,70,262.588
1183,70,266.824
1184,70,271.059
1185,70,275.294
1186,70,279.529
1187,70,283.765
1188,70,288
1189,70,292.235
1190,70,296.471
1191,70,300.706
1192,70,304.941
1193,70,309.176
1194,70,313.412
1195,70,317.647
1196,70,321.882
1197,70,326.118
1198,70,330.353
1199,70,334.588
1200,70,338.824
1201,70,343.059
1202,70,347.294
1203,70,351.529
1204,70,355.765
1205,-70,0
1206,-70,4.23529
1207,-70,8.47059
1208,-70,12.7059
1209,-70,16.9412
1210,-70,21.1765
1211,-70,25.4118
1212,-70,29.6471
1213,-70,33.8824
1214,-70,38.1176
1215,-70,42.3529
1216,-70,46.5882
1217,-70,50.8235
1218,-70,55.0588
1219,-70,59.2941
1220,-70,63.5294
1221,-70,67.7647
1222,-70,72
1223,-70,76.2353
1224,-70,80.4706
1225,-70,84.7059
1226,-70,88.9412
1227,-70,93.1765
1228,-70,97.4118
1229,-70,101.647
1230,-70,105.882
1231,-70,110.118
